,latitude,longitude
0,29.8830556,-97.9411111
1,29.38421,-98.581082
2,53.2,-2.916667
3,28.9783333,-96.6458333
4,21.4180556,-157.8036111
5,36.5950000,-82.1888889
6,51.434722,-3.18
7,41.1175000,-73.4083333
8,33.5861111,-86.2861111
9,30.2947222,-82.9841667
10,33.9163889,-118.3516667
11,35.2333333,-82.7344444
12,40.6686111,-73.5275000
13,37.1536111,-83.7619444
14,35.8238889,-80.2536111
15,36.8430556,-83.3219444
16,42.5377778,-83.2330556
17,41.3252778,-72.1936111
18,32.364167,-64.678611
20,42.3916667,-71.5666667
21,51.5,-3.2
22,38.1055556,-98.6597222
23,32.8544444,-79.9750000
24,45.5827778,-122.3522222
25,51.783333,-.783333
26,29.4238889,-98.4933333
27,38.2541667,-85.7594444
28,40.7008333,-73.7133333
29,41.7002778,-73.9213889
30,53.970571,-111.689885
31,32.7152778,-117.1563889
32,38.7583333,-104.7425000
33,29.7630556,-95.3630556
34,32.7833333,-96.8000000
35,42.9955556,-71.4552778
36,-38.662334,178.017649
37,29.7630556,-95.3630556
38,44.7630556,-85.6205556
39,41.0338889,-73.7633333
40,53.8,-1.583333
41,41.523427,-73.646795
43,43.0388889,-87.9063889
44,43.9627778,-70.2830556
45,40.0150000,-105.2700000
46,47.6063889,-122.3308333
47,34.1577778,-118.6375000
48,46.7163889,-122.9530556
49,36.722263,-86.577218
51,31.7058333,-83.6533333
52,35.2350000,-75.6288889
53,40.2736111,-76.8847222
54,30.1586111,-85.6602778
55,29.6158333,-95.5575000
56,35.8905556,-83.7247222
57,32.7591667,-97.7969444
58,55.183333,59.65
59,40.6936111,-89.5888889
60,36.2522222,-85.9516667
61,26.149798,-97.913611
62,42.9097222,-73.8955556
63,34.1027778,-91.9922222
64,43.666667,-79.416667
66,43.0388889,-87.9063889
67,37.8044444,-122.2697222
68,39.0725000,-93.7169444
69,-33.093373,151.588982
70,32.7763889,-79.9311111
71,39.4402778,-84.3622222
72,39.6411111,-85.1411111
73,33.4222222,-111.8219444
74,32.5436111,-83.5961111
75,43.6666667,-92.9744444
77,34.0983333,-118.3258333
78,33.4483333,-112.0733333
79,42.0372222,-88.2811111
80,36.1750000,-115.1363889
81,36.1750000,-115.1363889
82,40.935998,-73.901708
83,47.6588889,-117.4250000
84,35.5847222,-80.8102778
85,47.55,-52.666667
86,35.2650000,-84.5533333
87,38.0194444,-122.1330556
89,39.1141667,-94.6272222
90,32.7833333,-96.8000000
91,32.7152778,-117.1563889
92,46.2113889,-119.1361111
93,37.6688889,-122.0797222
94,38.7744444,-92.2569444
95,37.6447222,-115.7427778
96,41.6916667,-97.4841667
98,27.150053,-82.480653
99,45.5650000,-117.9163889
100,44.8838889,-84.3055556
101,37.7241667,-89.8611111
103,26.5250000,-80.0666667
104,46.216667,-63.483333
105,43.40555,-88.705104
106,38.627003,-90.199404
107,38.1266667,-92.0844444
108,38.9988889,-84.6266667
109,47.6063889,-122.3308333
110,47.5405556,-122.6350000
111,42.3952778,-94.6336111
112,-33.861481,151.205475
113,49.25,-123.133333
114,37.6688889,-122.0797222
115,41.0041667,-92.3736111
116,36.7477778,-119.7713889
117,33.4483333,-112.0733333
118,36.8527778,-75.9783333
119,46.0130556,-91.4844444
120,44.5402778,-123.3663889
121,-34.928661,138.598633
122,47.6063889,-122.3308333
123,46.216667,-63.483333
124,39.1619444,-84.4569444
125,45.5236111,-122.6750000
126,25.03428,-77.39628
127,-41.05584,145.903748
128,41.79393,-86.743915
129,34.0952778,-118.1261111
130,39.7683333,-86.1580556
131,38.8402778,-77.4291667
132,42.9897222,-116.0925000
133,41.7791667,-83.5688889
134,33.8075000,-78.7011111
135,35.0844444,-106.6505556
136,53.070884,-2.736506
137,45.3088889,-89.4963889
138,41.0886111,-74.1441667
139,40.058324,-74.405661
140,49.966667,-98.3
